supplier,model_code,material,collection,height,widths,price
CobraDoors,MAH-FSL,Fiberglass,Mahogany,6'8,"12,14","$1,000 "
CobraDoors,MAH-RPSL,Fiberglass,Mahogany,6'8,"12,14","$1,000 "
CobraDoors,MAH-F,Fiberglass,Mahogany,6'8,"32,34,36,40,42","$1,000 "
CobraDoors,MAH-RP,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-CFR,Fiberglass,Mahogany,6'8,36,"$1,000 "
CobraDoors,MAH-2EM,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-3PA,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-C3P,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,TT-BM00,Fiberglass,Mahogany,6'8,"32,34,36,42","$1,000 "
CobraDoors,MAH-GR1,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR2,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR3,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR4,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR5,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR6,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,TT-BM00-1,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,TT-BM00-2,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,MAH8-3Q,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,MAH8-ST-42,Fiberglass,Mahogany,8'0,"40,42","$1,000 "
CobraDoors,MAH8-NRP,Fiberglass,Mahogany,8'0,"40,42","$1,000 "
CobraDoors,MAH8-RP,Fiberglass,Mahogany,8'0,"32,34,36,40,42","$1,000 "
CobraDoors,MAH8-F,Fiberglass,Mahogany,8'0,"32,34,36,40,42","$1,000 "
CobraDoors,MAH8-FSL,Fiberglass,Mahogany,8'0,"12,14,16","$1,000 "
CobraDoors,MAH8-NRPSL,Fiberglass,Mahogany,8'0,"12,14","$1,000 "
CobraDoors,MAH8-GP,Fiberglass,Mahogany,8'0,"32,34,36,42","$1,000 "
CobraDoors,MAH8-5L,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
