model_code,material,collection,height,widths,
MAH-FSL,Fiberglass,Mahogany,6'8,"12,14",
MAH-RPSL,Fiberglass,Mahogany,6'8,"12,14",
MAH-F,Fiberglass,Mahogany,6'8,"32,34,36,40,42",
MAH-RP,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-CFR,Fiberglass,Mahogany,6'8,36,
MAH-2EM,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-3PA,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-C3P,Fiberglass,Mahogany,6'8,"32,34,36",
TT-BM00,Fiberglass,Mahogany,6'8,"32,34,36,42",
MAH-GR1,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-GR2,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-GR3,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-GR4,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-GR5,Fiberglass,Mahogany,6'8,"32,34,36",
MAH-GR6,Fiberglass,Mahogany,6'8,"32,34,36",
TT-BM00-1,Fiberglass,Mahogany,8'0,"32,34,36",
TT-BM00-2,Fiberglass,Mahogany,8'0,"32,34,36",
MAH8-3Q,Fiberglass,Mahogany,8'0,"32,34,36",
MAH8-ST-42,Fiberglass,Mahogany,8'0,"40,42",
MAH8-NRP,Fiberglass,Mahogany,8'0,"40,42",
MAH8-RP,Fiberglass,Mahogany,8'0,"32,34,36,40,42",
MAH8-F,Fiberglass,Mahogany,8'0,"32,34,36,40,42",
MAH8-FSL,Fiberglass,Mahogany,8'0,"12,14,16",
MAH8-NRPSL,Fiberglass,Mahogany,8'0,"12,14",
MAH8-GP,Fiberglass,Mahogany,8'0,"32,34,36,42",
MAH8-5L,Fiberglass,Mahogany,8'0,"32,34,36",
WG-F,Fiberglass,Oak,6'8,"30,32,34,36",
WG-3PA,Fiberglass,Oak,6'8,"32,34,36",
WG-2EM,Fiberglass,Oak,6'8,"32,34,36",
WG-2PR,Fiberglass,Oak,6'8,"32,34,36",
WG-4PBT,Fiberglass,Oak,6'8,"32,34,36",
WG-CR,Fiberglass,Oak,6'8,"32,34,36",
WG-C3P,Fiberglass,Oak,6'8,"32,34,36",
WG-CR,Fiberglass,Oak,6'8,"34,36",
WG-8P,Fiberglass,Oak,6'8,"34,36",
WG-1P,Fiberglass,Oak,6'8,"32,34,36",
WG-CTP,Fiberglass,Oak,6'8,"32,34,36",
WG-SYD,Fiberglass,Oak,6'8,"32,34,36",
WG-F-S/L,Fiberglass,Oak,6'8,"12,14",
WG-2PSL,Fiberglass,Oak,6'8,"12,14",
WG-2PR-S/L,Fiberglass,Oak,6'8,"12,14",
WG8-F,Fiberglass,Oak,8'0,"32,34,36",
WG8-6P,Fiberglass,Oak,8'0,"32,34,36",
WG8-2H,Fiberglass,Oak,8'0,"32,34,36",
WG8-3Q,Fiberglass,Oak,8'0,"32,34,36",
WG8-MXP,Fiberglass,Oak,8'0,"36,42",
WG8-FSL,Fiberglass,Oak,8'0,"12,14",
WG8-2PSL,Fiberglass,Oak,8'0,"12,14",
TT-B0-8',Fiberglass,Oak,8'0,"32,34,36",
SM-CR,Fiberglass,Smooth,6'8,"34,36",
SM-CFR,Fiberglass,Smooth,6'8,"32,34,36",
SM-2P,Fiberglass,Smooth,6'8,"32,34,36",
SM-2PR,Fiberglass,Smooth,6'8,"32,34,36",
SM-2EM,Fiberglass,Smooth,6'8,"32,34,36",
SM-F,Fiberglass,Smooth,6'8,"30,32,34,36,42",
SM-2PSL,Fiberglass,Smooth,6'8,"12,14",
SM-2PRSL,Fiberglass,Smooth,6'8,"12,14",
SM-FSL,Fiberglass,Smooth,6'8,"12,14",
SM-4PBT,Fiberglass,Smooth,6'8,"32,34,36",
SM-6P,Fiberglass,Smooth,6'8,"32,34,36",
SM-3PA,Fiberglass,Smooth,6'8,"32,34,36",
SM-RP,Fiberglass,Smooth,6'8,"32,34,36",
SM8-FSL,Fiberglass,Smooth,8'0,"12,14",
SM8-3PSL,Fiberglass,Smooth,8'0,"12,14",
SM8-6P,Fiberglass,Smooth,8'0,"32,34,36",
SM8-GP,Fiberglass,Smooth,8'0,"32,34,36,42",
SM8-F,Fiberglass,Smooth,8'0,"32,34,36",
WG00,Fiberglass,Oak (RC),6'8,"30,32,34,36,42",
WG25,Fiberglass,Oak (RC),6'8,"32,34,36",
WG46,Fiberglass,Oak (RC),6'8,"32,34,36",
WG68,Fiberglass,Oak (RC),6'8,"32,34,36",
WG49,Fiberglass,Oak (RC),6'8,"32,34,36",
WG34,Fiberglass,Oak (RC),6'8,"32,34,36",
WGF0,Fiberglass,Oak (RC),6'8,36,
WG68,Fiberglass,Oak (RC),6'8,"34,36",
WG81,Fiberglass,Oak (RC),6'8,36,
WG91,Fiberglass,Oak (RC),6'8,36,
WS00,Fiberglass,Oak (RC),6'8,"12,14",
WS68,Fiberglass,Oak (RC),6'8,"12,14",
WS34,Fiberglass,Oak (RC),6'8,"12,14",
WS49,Fiberglass,Oak (RC),6'8,"12,14",
WG00,Fiberglass,Teak,6'8,"30,32,34,36,42",
SG00,Fiberglass,Smooth,6'8,"30,32,34,36,42",
SG25,Fiberglass,Smooth,6'8,"32,34,36",
SG20,Fiberglass,Smooth,6'8,"32,34,36",
SG46,Fiberglass,Smooth,6'8,"32,34,36",
SG49,Fiberglass,Smooth,6'8,"32,34,36",
SG66,Fiberglass,Smooth,6'8,"34,36",
SG68,Fiberglass,Smooth,6'8,"32,34,36",
SG11,Fiberglass,Smooth Contemporary,6'8,"24,30,32,34,36",
SGNL,Fiberglass,Smooth Contemporary,6'8,"32,34,36",
SG27,Fiberglass,Smooth Contemporary,6'8,"32,34,36",
SG23,Fiberglass,Smooth Contemporary,6'8,"32,34,36",
SG4L,Fiberglass,Smooth Contemporary,6'8,"32,34,36",
HAR BS05,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36",
HAR BS14,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36",
HAR BS24,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36",
HAR BS30,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36",
